run,total_utterances,total_words,total_duration,unique_speakers,words_per_minute,avg_utterance_length,participant_1_words,participant_2_words,participant_1_utterances,participant_2_utterances,host_words,host_utterances,total_participant_words,speaking_balance,balance_deviation
0,113,1064,582.606,3,109.57662639931618,9.415929203539823,636,418,62,50,10,1,1054,0.603415559772296,0.103415559772296
1,54,409,274.772,3,89.31041008545267,7.574074074074074,67,258,10,33,84,11,325,0.20615384615384616,0.29384615384615387
2,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
3,341,3216,1767.137,3,109.19357129639637,9.43108504398827,1017,2033,126,187,166,28,3050,0.33344262295081967,0.16655737704918033
4,87,889,615.655,1,86.63943279921385,10.218390804597702,889,0,87,0,0,0,889,1.0,0.5
5,157,1320,789.175,3,100.35796876484937,8.40764331210191,898,133,88,19,289,50,1031,0.8709990300678953,0.37099903006789525
6,80,729,495.594,3,88.25772709112701,9.1125,373,280,43,32,76,5,653,0.5712098009188361,0.07120980091883611
7,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
8,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
9,61,327,171.963,3,114.09431098550269,5.360655737704918,106,177,23,31,44,7,283,0.3745583038869258,0.1254416961130742
10,66,545,230.372,3,141.9443335127533,8.257575757575758,260,259,28,35,26,3,519,0.5009633911368016,0.0009633911368015502
11,38,262,136.764,3,114.94252873563218,6.894736842105263,48,193,7,27,21,4,241,0.1991701244813278,0.30082987551867224
12,146,864,872.857,2,59.39117174978261,5.917808219178082,80,784,20,126,0,0,864,0.09259259259259259,0.40740740740740744
13,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
14,17,84,88.932,4,56.67251383079206,4.9411764705882355,45,12,9,2,0,0,57,0.7894736842105263,0.2894736842105263
15,37,113,231.573,2,29.27802464017826,3.054054054054054,16,97,5,32,0,0,113,0.1415929203539823,0.3584070796460177
16,98,423,695.019,3,36.51698730538302,4.316326530612245,90,181,18,33,152,47,271,0.33210332103321033,0.16789667896678967
17,20,76,105.974,3,43.02942231113292,3.8,16,35,3,9,25,8,51,0.3137254901960784,0.18627450980392157
18,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
19,75,304,548.05,2,33.281634887327805,4.053333333333334,130,174,36,39,0,0,304,0.4276315789473684,0.07236842105263158
20,71,738,352.835,3,125.49775390763388,10.394366197183098,101,579,12,54,58,5,680,0.14852941176470588,0.3514705882352941
21,336,2943,1565.979,4,112.76013279871569,8.758928571428571,997,1871,112,205,53,13,2868,0.34762900976290095,0.15237099023709905
22,121,738,470.564,3,94.0998461420763,6.099173553719008,67,503,12,82,168,27,570,0.11754385964912281,0.38245614035087716
23,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
24,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
25,109,697,540.955,3,77.30772430239114,6.394495412844036,126,448,15,68,123,26,574,0.21951219512195122,0.2804878048780488
26,33,320,212.714,3,90.26204199065413,9.696969696969697,119,99,14,13,102,6,218,0.5458715596330275,0.04587155963302747
27,18,93,133.681,3,41.74115992549427,5.166666666666667,73,9,11,3,11,4,82,0.8902439024390244,0.3902439024390244
28,124,814,763.02,3,64.0088071085948,6.564516129032258,190,311,36,39,313,49,501,0.37924151696606784,0.12075848303393216
29,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0
30,66,377,398.839,5,56.71461416762152,5.712121212121212,87,81,22,8,0,0,168,0.5178571428571429,0.017857142857142905
31,76,336,334.417,3,60.28401666183239,4.421052631578948,106,148,33,30,82,13,254,0.41732283464566927,0.08267716535433073
