building,planning,coordination,evaluation,problems,agreement,run,variant,total_words
0.03007518796992481,0.040413533834586464,0.07330827067669173,0.002819548872180451,0.0,0.05921052631578947,0,Open Ended,1064
0.029339853300733496,0.04156479217603912,0.07579462102689487,0.0024449877750611247,0.0024449877750611247,0.07579462102689487,1,Timed,409
0.03016169154228856,0.025808457711442787,0.0740049751243781,0.007151741293532339,0.0009328358208955224,0.06312189054726368,3,Roleplay,3216
0.02699662542182227,0.025871766029246346,0.06636670416197975,0.00562429696287964,0.0011248593925759281,0.05061867266591676,4,Timed,889
0.02878787878787879,0.03787878787878788,0.06212121212121212,0.009848484848484848,0.0,0.038636363636363635,5,Roleplay,1320
0.02194787379972565,0.03017832647462277,0.06584362139917696,0.013717421124828532,0.0013717421124828531,0.01783264746227709,6,Open Ended,729
0.05198776758409786,0.01834862385321101,0.05504587155963303,0.012232415902140673,0.0,0.0672782874617737,9,Open Ended,327
0.03302752293577982,0.023853211009174313,0.08256880733944955,0.014678899082568808,0.001834862385321101,0.060550458715596334,10,Roleplay,545
0.022900763358778626,0.015267175572519083,0.08778625954198473,0.011450381679389313,0.0,0.07251908396946564,11,Timed,262
0.009259259259259259,0.015046296296296295,0.06365740740740741,0.018518518518518517,0.0011574074074074073,0.052083333333333336,12,Roleplay,864
0.0,0.011904761904761904,0.10714285714285714,0.011904761904761904,0.0,0.047619047619047616,14,Timed,84
0.008849557522123894,0.02654867256637168,0.08849557522123894,0.017699115044247787,0.0,0.08849557522123894,15,Open Ended,113
0.016548463356973995,0.0070921985815602835,0.05673758865248227,0.009456264775413711,0.0,0.04018912529550828,16,Open Ended,423
0.013157894736842105,0.02631578947368421,0.039473684210526314,0.02631578947368421,0.0,0.05263157894736842,17,Timed,76
0.006578947368421052,0.023026315789473683,0.05263157894736842,0.013157894736842105,0.003289473684210526,0.046052631578947366,19,Roleplay,304
0.037940379403794036,0.03116531165311653,0.09620596205962059,0.013550135501355014,0.0040650406504065045,0.051490514905149054,20,Timed,738
0.020047570506286104,0.013931362555215767,0.10397553516819572,0.01291199456337071,0.002378525314305131,0.09853890587835543,21,Roleplay,2943
0.032520325203252036,0.037940379403794036,0.08265582655826559,0.023035230352303523,0.0040650406504065045,0.058265582655826556,22,Open Ended,738
0.020086083213773313,0.03730272596843615,0.05595408895265423,0.01721664275466284,0.0,0.05738880918220947,25,Open Ended,697
0.040625,0.059375,0.0625,0.009375,0.003125,0.034375,26,Roleplay,320
0.021505376344086023,0.021505376344086023,0.021505376344086023,0.010752688172043012,0.0,0.10752688172043011,27,Timed,93
0.02457002457002457,0.022113022113022112,0.051597051597051594,0.0,0.0,0.06142506142506143,28,Roleplay,814
0.021220159151193633,0.03978779840848806,0.04774535809018567,0.007957559681697613,0.0,0.05570291777188329,30,Timed,377
0.023809523809523808,0.020833333333333332,0.044642857142857144,0.011904761904761904,0.002976190476190476,0.02976190476190476,31,Open Ended,336
